scenario_id,scenario_title,area,classification,test_files,blocking_ids,notes
TC-WF-003,"Committee substitution path — NOT_FOUND in graph",workflow,BLOCKED_PENDING_OD,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,OD-31,
TC-WF-004,"Alternate second reviewer — NOT_FOUND",workflow,BLOCKED_PENDING_OD,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,OD-32,
TC-WF-005,"Sensory-inspection gate — NOT_FOUND",workflow,BLOCKED_PENDING_OD,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,OD-33,
TC-REV-001,"First-reviewer approve → allowed","first review",CHARACTERIZATION,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,,"graph structure only"
TC-REV-002,"Mandatory-rejection note required on RETURN/REJECT","first review",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Certificates/CertificateFoundationTest.php,,"construction invariant"
TC-REV-003,"Second-reviewer routing","second review",BLOCKED_PENDING_OD,,OD-34,
TC-SP-001,"Special-path resumption + reinforcement","special paths",BLOCKED_PENDING_OD,,OD-18,
TC-PAY-001,"Payment eligibility boundary — ELIGIBLE","payment eligibility",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Certificates/CertificateFoundationTest.php,,
TC-PAY-002,"Payment initiation refuses simulation quote","financial quotations",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Payment/Srv001PaymentFoundationTest.php,,
TC-PAY-003,"Only CONFIRMED unlocks receipt",payment,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Payment/Srv001PaymentFoundationTest.php,,
TC-PAY-004,"Callback replay detected",payment,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Payment/Srv001PaymentFoundationTest.php,,
TC-TAX-001,"Regional exemption blocked by OD-35","financial quotations",BLOCKED_PENDING_OD,tests/Unit/Domain/Financial/Srv001FinancialFoundationTest.php,OD-35,"SUSPENDED — OD-35 unresolved"
TC-TAX-002,"Income-tax rule returns CONFLICTED","financial quotations",SIMULATION,tests/Unit/Domain/Financial/Srv001FinancialFoundationTest.php,OD-01,
TC-TAX-003,"Total contract value BLOCKED","financial quotations",SIMULATION,tests/Unit/Domain/Financial/Srv001FinancialFoundationTest.php,OD-01,
TC-EXEM-001,"Engineer exemption has no runtime effect",exemptions,EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Financial/Srv001FinancialFoundationTest.php,,hasRuntimeFinancialEffect()=false
TC-CAMP-001,"Mandatory campaign missing authority rejected","donation campaigns",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Financial/Srv001FinancialFoundationTest.php,,"construction invariant"
TC-REC-001,"Receipt refuses non-CONFIRMED payment","receipt eligibility",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Payment/Srv001PaymentFoundationTest.php,,
TC-REC-002,"Receipt freezes fee + tax snapshots","receipt eligibility",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Payment/Srv001PaymentFoundationTest.php,,
TC-CERT-001,"Certificate blocked without payment evidence","certificate eligibility",EXECUTABLE_ACCEPTANCE,tests/Unit/Domain/Certificates/CertificateFoundationTest.php,,
TC-CERT-002,"Certificate blocked when OD-34 open","certificate eligibility",BLOCKED_PENDING_OD,tests/Unit/Domain/Certificates/CertificateFoundationTest.php,OD-34,
TC-CERT-003,"Production certificate issuance inactive","certificate eligibility",BLOCKED_PENDING_ADAPTER,tests/Unit/Domain/Certificates/CertificateFoundationTest.php,RES-TD07-04,"no renderer/signer adapter"
TC-EXT-001,"BURA inspection port — missing contract","external integrations",BLOCKED_PENDING_CONTRACT,,OD-30,
TC-EXT-002,"Map link port — non-critical fallback","external integrations",BLOCKED_PENDING_ADAPTER,,,
TC-EXT-003,"Oracle decision port — CONTRACT_MISSING","external integrations",BLOCKED_PENDING_CONTRACT,tests/Unit/Domain/Srv001/Srv001PortsAndEntitiesTest.php,OD-30,"ContractMissingOracleDecisionAdapter proves fail-closed default"
TC-EXT-004,"DLS lookup port — no adapter","external integrations",BLOCKED_PENDING_CONTRACT,,,RES-TD05-01
TC-DUAL-001,"Dual-run legacy=target for accepted case","dual-run preparation",CHARACTERIZATION,tests/Feature/DualRun/Srv001DualRunTest.php,,"TD-10 comparison"
TC-DUAL-002,"Dual-run target-only structure classified","dual-run preparation",CHARACTERIZATION,tests/Feature/DualRun/Srv001DualRunTest.php,,
