requirement_id,requirement_title,source_reference,source_status,business_approval_status,implementation_authorization,publication_authorization,release,component,domain_files,application_files,adapter_files,migration_files,test_files,acceptance_scenarios,runtime_status,blocking_ods,blocking_contracts,residual_ids,evidence_status,notes
FR-SS-013,"Site survey data model + DLS integration — requirement FR-SS-013","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-014,"Site survey data model + DLS integration — requirement FR-SS-014","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-015,"Site survey data model + DLS integration — requirement FR-SS-015","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-016,"Site survey data model + DLS integration — requirement FR-SS-016","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-017,"Site survey data model + DLS integration — requirement FR-SS-017","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-018,"Site survey data model + DLS integration — requirement FR-SS-018","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-019,"Site survey data model + DLS integration — requirement FR-SS-019","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-020,"Site survey data model + DLS integration — requirement FR-SS-020","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Application,modules/JeaServices/Domain/Srv001/Contracts/DlsLookupPort.php,,,,,,STRUCTURALLY_MODELLED,,"DLS integration contract",RES-TD05-01,STRUCTURALLY_MODELLED,"DLS port modelled; no adapter — CONTRACT_MISSING at runtime"
FR-SS-021,"SRV-001 calculation rules — requirement FR-SS-021","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Engine/ExplorationRequirementMatrix.php,modules/JeaServices/Governance/Srv001/LegacyExplorationRequirementMatrixCalculator.php",,,,tests/Unit/ExplorationRequirementMatrixTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,"Legacy pilot MATRIX rule APPROVED — see td-04/srv001-rule-matrix.csv"
FR-SS-022,"SRV-001 calculation rules — requirement FR-SS-022","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Engine/WellsCountCalculator.php,modules/JeaServices/Domain/Srv001/Calculators/TargetWellsCountCalculator.php",,,,,,SIMULATION_ONLY,OD-11,,RES-TD04-02,SIMULATION_ONLY,"WELLS_COUNT PROVISIONAL — 801-1000 band uncorroborated"
FR-SS-023,"SRV-001 calculation rules — requirement FR-SS-023","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Engine/NetDepthTable.php,modules/JeaServices/Domain/Srv001/Calculators/TargetNetDepthTableCalculator.php",,,,,,SIMULATION_ONLY,"OD-19,OD-20",,RES-TD04-02,SIMULATION_ONLY,
FR-SS-024,"SRV-001 calculation rules — requirement FR-SS-024","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/Srv001CalculationOutcome.php,modules/JeaServices/Domain/Srv001/Srv001CalculatorOutcomeClassifier.php",,,,"tests/Unit/Domain/Srv001/Srv001CalculationOutcomeTest.php,tests/Feature/Domain/Srv001/Srv001CalculatorOutcomeClassifierTest.php",,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,
FR-SS-025,"SRV-001 calculation rules — requirement FR-SS-025","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,modules/JeaServices/Governance/TargetRuleVersionPublicationPolicy.php,,,,tests/Feature/Governance/TargetRuleVersionPublicationPolicyTest.php,,STRUCTURALLY_MODELLED,,,RES-TD04-01,STRUCTURALLY_MODELLED,"Guard bound-in-source; container binding + publisher consumer pending"
FR-SS-026,"SRV-001 calculation rules — requirement FR-SS-026","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Domain/Srv001,modules/JeaServices/Engine/ExplorationRequirementMatrix.php,,,,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,"SPECIAL_STUDY_REQUIRED path (floors 9-15)"
FR-SS-027,"SRV-001 calculation rules — requirement FR-SS-027","SRS v1.2 DRAFT_REVIEW",LEGACY_PILOT_APPROVED,LEGACY_PILOT_APPROVED,AUTHORIZED_LEGACY_PILOT,PUBLISHED_LEGACY_PILOT,R1,JeaServices/Domain/Srv001,modules/JeaServices/Governance/Srv001/LegacySrv001SubmissionPolicy.php,,,,tests/Feature/UseCases/Srv001TransactionalSubmissionTest.php,,IMPLEMENTED_AND_TESTED,,,,IMPLEMENTED_AND_TESTED,"Minimum exploration-point enforcement"
FR-SS-028,"SRV-001 calculation rules — requirement FR-SS-028","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,,,,,,,BLOCKED_BY_OD,"OD-22,OD-23",,RES-TD00-05,BLOCKED_BY_OD,"above-3000 m2 blocked — no signed formula"
FR-SS-029,"SRV-001 calculation rules — requirement FR-SS-029","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,,,,,,,BLOCKED_BY_OD,OD-07,,,BLOCKED_BY_OD,"tower-threshold branch — signed threshold pending"
FR-SS-030,"SRV-001 calculation rules — requirement FR-SS-030","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,,,,,,,BLOCKED_BY_OD,OD-13,,,BLOCKED_BY_OD,"roof-50 boundary — unresolved"
FR-SS-031,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-031","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-032,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-032","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-033,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-033","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-034,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-034","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-035,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-035","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-036,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-036","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-037,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-037","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-038,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-038","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-039,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-039","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-040,"Documents: metadata, versioning, quarantine, scan — requirement FR-SS-040","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Documents,modules/JeaServices/Domain/Documents/ValueObjects/DocumentMetadata.php,,,,tests/Unit/Domain/Documents/DocumentMetadataTest.php,,STRUCTURALLY_MODELLED,OD-24,"storage adapter,malware scanner","RES-TD06-01,RES-TD06-02",STRUCTURALLY_MODELLED,"Metadata VO delivered; storage/AV/quarantine ports interface-only; OD-24 blocks limits"
FR-SS-041,"Workflow + review + notes — requirement FR-SS-041","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,modules/JeaServices/Domain/Workflow/Srv001WorkflowGraph.php,,,,tests/Unit/Domain/Workflow/Srv001WorkflowGraphTest.php,,STRUCTURALLY_MODELLED,OD-29,,RES-TD07-01,STRUCTURALLY_MODELLED,"FR-SS-041 explicitly named in SRS v1.2; workflow-graph structural model"
FR-SS-042,"Workflow + review + notes — requirement FR-SS-042","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,modules/JeaServices/Domain/Reviews/ValueObjects/ReviewDecision.php,,,,,,STRUCTURALLY_MODELLED,OD-29,,,STRUCTURALLY_MODELLED,
FR-SS-043,"Workflow + review + notes — requirement FR-SS-043","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,OD-31,,,STRUCTURALLY_MODELLED,"Committee substitution — alternate action NOT_FOUND in graph"
FR-SS-044,"Workflow + review + notes — requirement FR-SS-044","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,OD-32,,,STRUCTURALLY_MODELLED,"Alternate second reviewer — NOT_FOUND"
FR-SS-045,"Workflow + review + notes — requirement FR-SS-045","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,OD-33,,,STRUCTURALLY_MODELLED,"Sensory-inspection gate — NOT_FOUND"
FR-SS-046,"Workflow + review + notes — requirement FR-SS-046","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,OD-34,,RES-TD07-05,BLOCKED_BY_OD,"Final approval loopback — second_review_approve marked BLOCKED_BY_OD in graph"
FR-SS-047,"Workflow + review + notes — requirement FR-SS-047","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,OD-18,,,BLOCKED_BY_OD,"Special path resumption + reinforcement effects"
FR-SS-048,"Workflow + review + notes — requirement FR-SS-048","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,modules/JeaServices/Domain/Reviews/ValueObjects/ReviewNote.php,,,,,,STRUCTURALLY_MODELLED,,,,STRUCTURALLY_MODELLED,"MANDATORY_REJECTION note construction-time invariant"
FR-SS-049,"Workflow + review + notes — requirement FR-SS-049","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,modules/JeaServices/Domain/Srv001/ValueObjects/InternalMandatoryNote.php,,,,,,STRUCTURALLY_MODELLED,,,,STRUCTURALLY_MODELLED,
FR-SS-050,"Workflow + review + notes — requirement FR-SS-050","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Workflow,,,,,,,STRUCTURALLY_MODELLED,,,,STRUCTURALLY_MODELLED,"Community observation — not automatically blocking"
FR-SS-051,"Eligibility + external ports — requirement FR-SS-051","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/OfficeEligibilityPort.php,modules/JeaServices/Domain/Srv001/Srv001EligibilityGate.php",,,,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,STRUCTURALLY_MODELLED,,"Oracle,BURA,quota backing store,ceiling backing store","RES-TD05-01,RES-TD05-02",STRUCTURALLY_MODELLED,"Ports modelled + fail-closed by construction; no adapters wired"
FR-SS-052,"Eligibility + external ports — requirement FR-SS-052","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/OfficeEligibilityPort.php,modules/JeaServices/Domain/Srv001/Srv001EligibilityGate.php",,,,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,STRUCTURALLY_MODELLED,,"Oracle,BURA,quota backing store,ceiling backing store","RES-TD05-01,RES-TD05-02",STRUCTURALLY_MODELLED,"Ports modelled + fail-closed by construction; no adapters wired"
FR-SS-053,"Eligibility + external ports — requirement FR-SS-053","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/OfficeEligibilityPort.php,modules/JeaServices/Domain/Srv001/Srv001EligibilityGate.php",,,,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,STRUCTURALLY_MODELLED,,"Oracle,BURA,quota backing store,ceiling backing store","RES-TD05-01,RES-TD05-02",STRUCTURALLY_MODELLED,"Ports modelled + fail-closed by construction; no adapters wired"
FR-SS-054,"Eligibility + external ports — requirement FR-SS-054","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/OfficeEligibilityPort.php,modules/JeaServices/Domain/Srv001/Srv001EligibilityGate.php",,,,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,STRUCTURALLY_MODELLED,,"Oracle,BURA,quota backing store,ceiling backing store","RES-TD05-01,RES-TD05-02",STRUCTURALLY_MODELLED,"Ports modelled + fail-closed by construction; no adapters wired"
FR-SS-055,"Eligibility + external ports — requirement FR-SS-055","SRS v1.2 DRAFT_REVIEW",DRAFT_SRS_V1_2,UNVERIFIED,PROVISIONAL,NOT_AUTHORIZED,R1,JeaServices/Domain/Srv001,"modules/JeaServices/Domain/Srv001/Contracts/OfficeEligibilityPort.php,modules/JeaServices/Domain/Srv001/Srv001EligibilityGate.php",,,,tests/Unit/Domain/Srv001/Srv001EligibilityGateTest.php,,STRUCTURALLY_MODELLED,,"Oracle,BURA,quota backing store,ceiling backing store","RES-TD05-01,RES-TD05-02",STRUCTURALLY_MODELLED,"Ports modelled + fail-closed by construction; no adapters wired"
