REQ_ID,AREA,GROUND_TRUTH_ANCHOR,DESCRIPTION,CURRENT_CODE_LOCATION,CODE_STATUS,SOURCE_STATUS,BUSINESS_APPROVAL_STATUS,IMPLEMENTATION_AUTHORIZATION,PUBLICATION_AUTHORIZATION,BLOCKING_ODS,NOTES
TD-REQ-032,path,GT §3.4,"Duplicate/clearance identity: (parcel+basin+basin_name) + owner + symmetric type within 5 years; exceptions: different owner OR expiry; two-project state: justification letter OR clearance PDF",not implemented (SG-* wired OwnerMatchClearanceGuard for cross-cutting owner match; deeper 5-year identity not implemented),PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (data model + windowing implementable),PUBLICATION_BLOCKED,none,5-year window + identity tuple implementable
TD-REQ-033,path,GT §3.4 + FR-SS-059,Testing certificate validity: dynamic configuration default 5 years,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED (mechanism-only),none,configurable retention window
TD-REQ-040,calculation,GT §3.5 + BR-002,Largest floor area is basis for wells count; snapshot the reference floor,current WellsCountCalculator uses total floor_area (not per-floor max),PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED (rule text confirmed; band values still PROVISIONAL),IMPLEMENTATION_AUTHORIZED (structural),PUBLICATION_BLOCKED,OD-07 (801-1000 band) OD-11 (min floors),structural change; numeric outputs remain PROVISIONAL until OD closure
TD-REQ-041,calculation,GT §3.5,Wells count bands: 0-200→2 201-600→3 601-800→4 1001-1200→6 1201-3000→6+1/300m² (801-1000 is CONF-01),current WellsCountCalculator matches SIX of the seven bands; 801-1000 is CONFLICTED,PARTIAL,SOURCE_CONFIRMED_EXCEPT_801_1000,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED_MINUS_CONF_01_BAND,PUBLICATION_BLOCKED,OD-07,band 801-1000 blocked
TD-REQ-042,calculation,GT §3.5,"Policy pin: 3000m² → 12 wells (governance example)","tested? unclear","VERIFY_TEST",SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,characterization pin available
TD-REQ-043,calculation,GT §3.5,Above 15 floors = tower/mega project (edge unresolved: 15 itself vs 16+ = CONF-05),ExplorationRequirementMatrix returns SPECIAL_STUDY for floors 9+ (WORKAROUND — actual tower threshold 15 not implemented),PARTIAL,SOURCE_CONFIRMED_EDGE_CONFLICTED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_20,PUBLICATION_BLOCKED,OD-20,tower/mega classification not modelled
TD-REQ-044,fee,GT §3.5,Engineering-services value = net_depth × 10 minimum,not implemented,MISSING,SOURCE_CONFIRMED_MINIMUM,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_01,PUBLICATION_BLOCKED,OD-01 OD-19,fee formula base blocked
TD-REQ-045,fee,GT §3.5,Sales tax 16%,not implemented for SRV-001; existing services carry per_unit surcharges,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (rate configurable),PUBLICATION_BLOCKED,OD-19,tax rate itself is CONFIRMED
TD-REQ-046,fee,GT §3.5,Social-responsibility = wells × 20 × 0.008,not implemented,MISSING,SOURCE_CONFIRMED_TENTATIVE,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_01,PUBLICATION_BLOCKED,OD-01,formula labelled "مبدئيًا" in Ground Truth §3.5
TD-REQ-047,fee,GT §3.5,Survey fee = wells × 20 × 0.01,not implemented,MISSING,SOURCE_CONFIRMED_TENTATIVE,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_01,PUBLICATION_BLOCKED,OD-01,same as above
TD-REQ-050,attachments,GT §3.6,Two photos per well + one general site photo + PDF report + topographic (PDF/DWG/image),partial: site_investigation_report REPORT (PDF 25MB) already in Srv001PilotSeeder; per-well photos + topographic not modelled,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,OD-24 (file size 500MB/4MB),structure implementable; total-size limit blocked
TD-REQ-051,attachments,GT §3.6,Chunked resumable upload + MIME/magic + quarantine + signed URLs + attachment versioning,partial: PdfOrDwgFile rule + magic bytes exists; resumable upload not verified; signed URLs used in cert path only,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,OD-24 OD-27,implementable
TD-REQ-060,cross-cutting,GT §3.3 + SG-*,Cross-cutting submission pipeline runs before service-specific guard,CrossCuttingSubmissionPipeline + ServiceSubmissionGuardRegistry order established in WorkflowEngine::submit and ApplicationController::submit,IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED (SG-* established this),IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,foundation invariant
TD-REQ-070,activation-gate,SG-02 + RC-02,Runtime activation gate on catalog + creation + submission + payment + certificate,ServiceCatalogController + ApplicationController::store,submit + PaymentsController::initiate + CertificatesController::issue all consult ServiceAvailabilityPolicy,IMPLEMENTED,SOURCE_CONFIRMED (foundation),BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,RC-02 closure
TD-REQ-080,concurrency,SG-03 + RC-03,Concurrent publish serialised per service via ServiceDefinition::lockForUpdate,ServiceVersionPublisher L48,IMPLEMENTED,SOURCE_CONFIRMED,BUSINESS_APPROVED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_AUTHORIZED,none,RC-03 closure
TD-REQ-090,integrations,GT §7,Oracle/BURA256/BURA235/BURA514/DLS integration contracts + System of Record per field,not implemented; DLS Key is field-only,MISSING,SOURCE_ASSERTED_UNRESOLVED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_30,PUBLICATION_BLOCKED,OD-30,external contracts absent
TD-REQ-100,gaps,GT §5 GAP-01,Committees replace first auditor for energy projects — model + quorum,not implemented,MISSING,SOURCE_FLOWCHART_ONLY,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_31,PUBLICATION_BLOCKED,OD-31 (proposed),flowchart-only source
TD-REQ-101,gaps,GT §5 GAP-02,Second auditor substitution for first — conditions + logging,not implemented,MISSING,SOURCE_FLOWCHART_ONLY,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_32,PUBLICATION_BLOCKED,OD-32 (proposed),flowchart-only source
TD-REQ-102,gaps,GT §5 GAP-03,Excavation-completed gate before sensory inspection,not implemented,MISSING,SOURCE_FLOWCHART_ONLY,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_33,PUBLICATION_BLOCKED,OD-33 (proposed),flowchart-only source
TD-REQ-103,gaps,GT §5 GAP-04,Service-type dimension (path vs filter) for sensory/mega/modification,unresolved in ground truth,UNCLEAR,SOURCE_CONFLICTED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_29,PUBLICATION_BLOCKED,OD-29,architectural clarification needed
TD-REQ-104,gaps,GT §5 GAP-05,"RTM linkage: FR-SS-011/012 attribution to Calculation Engine — editorial only",editorial only,NO_CODE_IMPACT,SOURCE_EDITORIAL,N/A,N/A,N/A,none,editorial correction outside program scope
TD-REQ-110,integration,GT §3.4,DLS integration (deferred by pilot),Srv001PilotSeeder L297 dls_key field marked NEEDS_JEA_API,MECHANISM_ONLY,SOURCE_CONFIRMED_DEFERRED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_30,PUBLICATION_BLOCKED,OD-30,pilot deliberately excluded DLS integration
TD-REQ-181,srs-v12,SRS v1.2 §8.2 FR-SS-081,Quota-expiry auto-referral to Services dept for extra quota with fee,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (mechanism),PUBLICATION_BLOCKED,OD-17,R4 per SRS §19; fee value BLOCKED on OD-17
TD-REQ-182,srs-v12,SRS v1.2 §8.2 FR-SS-082,"Consume ""specialist engineer lost"" state from eligibility contract and block associated services",not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,R1 per SRS §19; category A rule
TD-REQ-183,srs-v12,SRS v1.2 §8.2 FR-SS-083,Return transaction to First Auditor after Second Auditor for final approval,not implemented,MISSING,SOURCE_CONFLICTED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_34,PUBLICATION_BLOCKED,OD-34,R3 but 083 lا يُنفَّذ قبل OD-34 (SRS §19)
TD-REQ-184,srs-v12,SRS v1.2 §8.2 FR-SS-084,Regional tax exemption per published governorate list with effective date,not implemented,MISSING,SOURCE_CONFIRMED_LIST_PENDING,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_35,PUBLICATION_BLOCKED,OD-35,R2; list pending OD-35 closure
TD-REQ-185,srs-v12,SRS v1.2 §8.2 FR-SS-085,Paper + electronic claim paths (Oracle direct-payment issues receipt+tax-receipt),not implemented,MISSING,SOURCE_CONFIRMED_STRUCTURE_BLOCKED_INTEGRATION,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_30,PUBLICATION_BLOCKED,OD-30,R4; requires Oracle contract
TD-REQ-186,srs-v12,SRS v1.2 §8.2 FR-SS-086,Minimum 2 wells when adjoining buildings merged into single computation,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,R2; TC-CALC-007 pin available (SRS §16)
TD-REQ-187,srs-v12,SRS v1.2 §8.2 FR-SS-087,QR reading of القوشان (registration deed) to auto-extract parcel data (source-tagged),not implemented; DLS Key is manual field only,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (mechanism),PUBLICATION_BLOCKED,OD-30,R1; priority Should
TD-REQ-188,srs-v12,SRS v1.2 §8.2 FR-SS-088,Mandatory internal notes on office/parcel by council decision — may escalate to parcel Block,not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,R5; priority Should; new entity InternalMandatoryNote in SRS §10
TD-REQ-189,srs-v12,SRS v1.2 §8.2 FR-SS-089,Show unrealised-reinforcement note automatically on later transactions for same office/entity,not implemented,MISSING,SOURCE_CONFIRMED_BLOCKED_INTEGRATION,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_30,PUBLICATION_BLOCKED,OD-30,R4; depends on Oracle
TD-REQ-190,srs-v12,SRS v1.2 §8.2 FR-SS-090,Unified contract-state filter across auditors screens (soil + materials variants),partial: ReviewQueueController + ReviewDashboardController exist without unified filter,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,R3; extends FR-SS-041
TD-REQ-200,srs-v12,SRS v1.2 §4.3,"Depth tables (third/two_thirds) for floors 3-14 explicit values + 15-19/20-24/25-29/30-34 aggregated ranges",partial: NetDepthTable exists for 3-9 floors only,PARTIAL,SOURCE_CONFIRMED_DEPTH_VALUES,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED_EXPANSION,PUBLICATION_BLOCKED,depth §4.3 selection rule,depth VALUES now sourced from SRS §4.3; SELECTION RULE remains BLOCKED
TD-REQ-201,srs-v12,SRS v1.2 §4.1,Wells count over 3000m² = 1 well per 400m² additional,not implemented; WellsCountCalculator caps at 3000m² band,MISSING,SOURCE_CONFIRMED_TRANSITION_BLOCKED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_22,PUBLICATION_BLOCKED,OD-22,transition point + credit rule blocked
TD-REQ-202,srs-v12,SRS v1.2 §4.1,Wells count for ≥15 floors: 1 well per 200m² regardless of area band,not implemented,MISSING,SOURCE_CONFIRMED_PRIORITY_BLOCKED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_20,PUBLICATION_BLOCKED,OD-20,priority-of-application blocked
TD-REQ-210,srs-v12,SRS v1.2 §2.2,Category A (2 specialties) / Category B (1 mandatory + 1 optional OR 7yrs OR 1 engineer) — consumed via eligibility contract,not implemented at office-classification level; office_id exists but no category taxonomy,MISSING,SOURCE_CONFIRMED_CATEGORY_B_AMBIGUOUS,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_JEA_CLARIFY_CAT_B,PUBLICATION_BLOCKED,none,Category B ambiguity noted in SRS §2.2
TD-REQ-211,srs-v12,SRS v1.2 §2.2,Annual quota by specialty: architect/civil/electrical/mechanical/soil-mechanics(linear)/materials-testing(m²) — VALUES NOT DELIVERED,not implemented,MISSING,SOURCE_CONFIRMED_STRUCTURE_VALUES_BLOCKED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED,PUBLICATION_BLOCKED,none,structure implementable; values BLOCKED
TD-REQ-220,srs-v12,SRS v1.2 §6.2,Three tax collection paths: (1) claim direct/electronic (2) every-2-months clearance (3) cash form (BLOCKED OD-10),not implemented,MISSING,SOURCE_CONFIRMED_STRUCTURE_BLOCKED_ORACLE,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_30_AND_OD_10,PUBLICATION_BLOCKED,OD-30 OD-10,tri-path structure confirmed
TD-REQ-230,srs-v12,SRS v1.2 §7.4,"Reinforcement path: yes → fill fields → send to Oracle without blocking current; ""no reinforcement despite need"" → mandatory note + Block state locally while Oracle continues",not implemented (schema has has_partial_basement + basement_area_m2 fields but no reinforcement question or Block state),MISSING,SOURCE_CONFIRMED_RECONCILIATION_BLOCKED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_BLOCKED_UNTIL_OD_18_OD_30,PUBLICATION_BLOCKED,OD-18 OD-30,Block-vs-Oracle-continue reconciliation part of OD-18/30
TD-REQ-240,srs-v12,SRS v1.2 §5,"Exemption types (engineer/employee/charity/house-of-worship) with mandatory attachment; ""engineer once in lifetime"" invariant with anti-race lock",partial: exemption_flag + exemption_type in Srv001PilotSeeder; ""once in lifetime"" invariant not implemented; race-lock missing,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,OD-15,rule ""إعفاء المهندس مرة واحدة في العمر"" is a hard invariant needing global uniqueness + race prevention
TD-REQ-250,srs-v12,SRS v1.2 §5,"Donation campaigns: admin panel — create/value/mandatory-or-optional/date-range/toggle/scope; mandatory campaigns require signed legal basis before publication",not implemented,MISSING,SOURCE_CONFIRMED_MECHANISM_PROPOSED_MANDATORY_GUARD,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (mechanism),PUBLICATION_BLOCKED (mandatory campaigns require legal basis),none,structure implementable
TD-REQ-260,srs-v12,SRS v1.2 §3,"8-step application form: Applicant → Project → Location → Buildings → Wells → Exemptions/Financial → Technical (reinforcement) → Attachments; save-print-return-to-8 shortcut after step 7",partial: Srv001PilotSeeder implements most fields but form-STEP model not present; ""save order"" contract not enforced,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (form UX + save order),PUBLICATION_BLOCKED,OD-24 (file sizes),UX + persistence step model
TD-REQ-270,srs-v12,SRS v1.2 §7.5,"Duplicate/clearance identity = (parcel+basin+basin_name) + owner + symmetric-type-only (soil-proposed only paired with soil-proposed); 5-year window; same-owner-two-projects state → justification letter OR clearance PDF",partial: OwnerMatchClearanceGuard for cross-cutting; 5-year window + symmetric-type-only pairing + BURA514 fallback not implemented,PARTIAL,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (extends guard),PUBLICATION_BLOCKED,none,supersedes TD-REQ-032 with SRS-anchored detail
TD-REQ-280,srs-v12,SRS v1.2 §10,"New entities: QuotaIncreaseReferral (application, requested quota, fee, decision), InternalMandatoryNote (scope=office|parcel, decision, session, effect=Block|warning)",not implemented (0 tables),MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,two new migrations at TD-01 or later
TD-REQ-290,srs-v12,SRS v1.2 §13,"RBAC additions: Services Dept (extra-quota decision) + Internal-note recording (independent authority)",not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED,PUBLICATION_BLOCKED,none,role additions
TD-REQ-300,srs-v12,SRS v1.2 §15,"New reports: Quota+Referrals (offices exhausted / referral results / coalition-sold quota) + Campaigns (donations by campaign/service/period)",not implemented,MISSING,SOURCE_CONFIRMED,BUSINESS_APPROVAL_UNVERIFIED,IMPLEMENTATION_AUTHORIZED (reports layer),PUBLICATION_BLOCKED,none,reporting extension
