COMPONENT,FILE_PATH,ENTRYPOINT,CALL_CHAIN,CONTAINER_BINDING,DATABASE_DEPS,CONFIG_DEPS,FRONTEND_DEPS,TEST_CALLER,RUNTIME_REACHABLE,CONFIDENCE
ExplorationRequirementMatrix,backend/modules/JeaServices/Engine/ExplorationRequirementMatrix.php,invoked by Srv001Guard::validate,Srv001Guard::validate → matrix::forFloorsAndArea,pure lookup table,none,none,none,ExplorationRequirementMatrixTest,INDIRECT (SRV-001 only),HIGH
FeeCalculator,backend/modules/JeaServices/Engine/FeeCalculator.php,invoked by ApplicationController::store/update/show,Controller → FeeCalculator::calculateBreakdown($schema $data),not-singleton (stateless new),service_definitions.schema (read via $service),none,ApplicationDetail.tsx fee_breakdown display,FeeCalculatorTest,DIRECT,HIGH
SchemaValidator,backend/modules/JeaServices/Engine/SchemaValidator.php,invoked by ApplicationController::submit,Controller → SchemaValidator::validateData/validateDocuments,not-singleton,"service_definitions.schema, application_documents",none,none,SchemaValidatorTest,DIRECT,HIGH
SchemaStructureValidator,backend/modules/JeaServices/Engine/SchemaStructureValidator.php,invoked by ServiceCatalogController::store/update,Admin endpoint → validator::validate($schema),not-singleton,service_definitions,none,ServiceEditor.tsx (admin schema edits),SchemaStructureValidatorTest,INDIRECT (admin schema edits),HIGH
StageActions,backend/modules/JeaServices/Engine/StageActions.php,invoked by WorkflowEngine::decide,WorkflowEngine → StageActions::run($action $app),not-singleton,"applications, notifications, certificates",none,none,StageActionsTest,DIRECT,HIGH
FakeJeaMembershipVerifier,backend/modules/JeaServices/Support/FakeJeaMembershipVerifier.php,JeaServicesServiceProvider L113 bound in non-prod,OfficeRegistrationController → verifier::verify($nia_id),singleton in dev/test,none,none,none,FakeJeaMembershipVerifierTest,INDIRECT (dev/test only),HIGH
HttpJeaMembershipVerifier,backend/modules/JeaServices/Support/HttpJeaMembershipVerifier.php,production JEA membership API (not yet activated),reserved for prod bind,not currently registered,external HTTP,jea.membership_api,none,HttpJeaMembershipVerifierTest,RESERVED_EXTENSION (BLK-02 activation contract per CL-03),HIGH
JeaNotificationService,backend/modules/JeaServices/Services/JeaNotificationService.php,invoked by WorkflowEngine + StageActions,Engine → JeaNotificationService::emit* → NotificationService,not-singleton,notifications,notifications.channels,none,JeaNotificationServiceTest,INDIRECT,HIGH
CertificatesController,backend/modules/JeaServices/Http/Controllers/CertificatesController.php,"HTTP GET /api/v1/applications/{id}/certificate/pdf (auth), GET /api/v1/certificates/{qr_token}/verify (public), GET /api/v1/certificates/{qr_token}/pdf (public)",Route → Controller → PDF generator → HMAC verify,not-singleton,"certificates, applications",filesystems.default,ApplicationDetail.tsx download button,"CertificateSerialAllocationTest, CertificateVerifyTest",DIRECT,HIGH
PaymentsController,backend/modules/JeaServices/Http/Controllers/PaymentsController.php,"HTTP POST /api/v1/applications/{id}/payment/initiate, POST /api/v1/applications/{id}/payment/confirm",Route → Controller → PaymentGateway::initiatePayment or WorkflowEngine::confirmPayment,PaymentGateway (singleton in provider),"applications, payment_callbacks",payment.gateway,ApplicationDetail.tsx,"PaymentInitiateAndManualConfirmTest, PaymentGatewayTest",DIRECT,HIGH
PaymentCallbackController,backend/modules/JeaServices/Http/Controllers/PaymentCallbackController.php,HTTP POST /api/v1/payment/callback (public with HMAC verify),Route → verify → WorkflowEngine::confirmPaymentFromReceipt,PaymentGateway singleton,"applications, payment_callbacks",payment.gateway,none (system-to-system),"PaymentCallbackControllerTest, ConfirmPaymentFromReceiptTest",DIRECT,HIGH
ManualReferenceController,backend/modules/JeaServices/Http/Controllers/ManualReferenceController.php,HTTP GET /api/v1/references (auth),Route → Controller → ManualReference read,not-singleton,manual_references,none,ManualReferenceLinks (Apply.tsx),ManualReferenceControllerTest,DIRECT,HIGH
OfficeRegistrationController,backend/modules/JeaServices/Http/Controllers/OfficeRegistrationController.php,"HTTP POST /api/v1/office-registration (public), GET /admin/office-registration/{id} (admin)",Route → captcha → JeaMembershipVerifier → controller,not-singleton,"office_registration_requests, organizations, users",office-registration.captcha,OfficeRegistration.tsx,"OfficeRegistrationCaptchaTest, OfficeRegistrationApprovalTest",DIRECT,HIGH
ReviewQueueController,backend/modules/JeaServices/Http/Controllers/ReviewQueueController.php,HTTP GET/POST reviewer endpoints (auth + role),Route → Controller → WorkflowEngine::claim/release,not-singleton,"applications, application_reviews",none,ReviewerConsole.tsx,ReviewQueueControllerTest,DIRECT,HIGH
ReviewDashboardController,backend/modules/JeaServices/Http/Controllers/ReviewDashboardController.php,HTTP GET reviewer dashboard,Route → Controller → aggregation queries,not-singleton,"applications, application_reviews",none,ReviewerDashboard.tsx,ReviewDashboardControllerTest,DIRECT,HIGH
EngineerController,backend/modules/JeaProjects/Http/Controllers/EngineerController.php,HTTP GET/POST/PUT/DELETE (auth),Route → Controller → Engineer model,not-singleton,engineers,none,EngineersList.tsx,EngineerControllerTest,DIRECT,HIGH
ProjectController,backend/modules/JeaProjects/Http/Controllers/ProjectController.php,HTTP GET/POST/PUT/DELETE (auth),Route → Controller → Project model,not-singleton,projects,none,ProjectsList.tsx,ProjectControllerTest,DIRECT,HIGH
OfficeSettingsController,backend/modules/JeaServices/Http/Controllers/OfficeSettingsController.php,HTTP GET/POST admin office settings,Route → Controller,not-singleton,"organizations, office_ceilings",none,OfficeSettings.tsx,OfficeSettingsControllerTest,DIRECT,HIGH
Srv001PilotSeeder,backend/modules/JeaServices/Database/Seeders/Srv001PilotSeeder.php,artisan db:seed,DatabaseSeeder → Srv001PilotSeeder::run,none,service_definitions (write SRV-001 row),none,none,Srv001PilotSeederTest,SEEDER_ONLY,HIGH
ServicePlan2026Seeder,backend/modules/JeaServices/Database/Seeders/ServicePlan2026Seeder.php,artisan db:seed,DatabaseSeeder → ServicePlan2026Seeder::run,none,service_definitions (write 57 rows),none,none,ServicePlan2026SeederTest,SEEDER_ONLY,HIGH
SurveyWorkflowsSeeder,backend/modules/JeaServices/Database/Seeders/SurveyWorkflowsSeeder.php,artisan db:seed,DatabaseSeeder → SurveyWorkflowsSeeder::run (overrides 7 SRV workflows),none,service_definitions (schema.workflow update),none,none,SurveyWorkflowsSeederTest,SEEDER_ONLY,HIGH
CatalogWorkflowsSeeder,backend/modules/JeaServices/Database/Seeders/CatalogWorkflowsSeeder.php,artisan db:seed,DatabaseSeeder → CatalogWorkflowsSeeder::run (43 template workflows),none,service_definitions (schema.workflow update),none,none,CatalogWorkflowsSeederTest,SEEDER_ONLY,HIGH
DrawingFeeMatrixSeeder,backend/modules/JeaServices/Database/Seeders/DrawingFeeMatrixSeeder.php,artisan db:seed,DatabaseSeeder → DrawingFeeMatrixSeeder::run (12 DRW-P fees),none,service_definitions (schema.fee update),none,none,DrawingFeeMatrixSeederTest,SEEDER_ONLY,HIGH
ExcavationFeeSeeder,backend/modules/JeaServices/Database/Seeders/ExcavationFeeSeeder.php,artisan db:seed,DatabaseSeeder → ExcavationFeeSeeder::run (SRV-007 SRV-012),none,service_definitions (schema.fee update),none,none,ExcavationFeeSeederTest,SEEDER_ONLY,HIGH
SolarFeeSeeder,backend/modules/JeaServices/Database/Seeders/SolarFeeSeeder.php,artisan db:seed,DatabaseSeeder → SolarFeeSeeder::run (DRW-P-006 override),none,service_definitions (schema.fee update),none,none,SolarFeeSeederTest,SEEDER_ONLY,HIGH
SiteSurveyFeesSeeder,backend/modules/JeaServices/Database/Seeders/SiteSurveyFeesSeeder.php,artisan db:seed,DatabaseSeeder → SiteSurveyFeesSeeder::run (SRV-001..006 150fils/lm + 1%),none,service_definitions (schema.fee update),none,none,SiteSurveyFeesSeederTest,SEEDER_ONLY,HIGH
DrawingsDocumentsSeeder,backend/modules/JeaServices/Database/Seeders/DrawingsDocumentsSeeder.php,artisan db:seed,DatabaseSeeder → DrawingsDocumentsSeeder::run (15-doc manifest to DRW-P-001..010),none,service_definitions (schema.documents update),none,none,DrawingsDocumentsSeederTest,SEEDER_ONLY,HIGH
DrawingEngineerPickerSeeder,backend/modules/JeaServices/Database/Seeders/DrawingEngineerPickerSeeder.php,artisan db:seed,DatabaseSeeder → DrawingEngineerPickerSeeder::run,none,service_definitions (schema.fields update — engineer_picker field),none,none,DrawingEngineerPickerSeederTest,SEEDER_ONLY,HIGH
ManualReferencesSeeder,backend/modules/JeaServices/Database/Seeders/ManualReferencesSeeder.php,artisan db:seed,DatabaseSeeder → ManualReferencesSeeder::run,none,manual_references (write),none,none,ManualReferencesSeederTest,SEEDER_ONLY,HIGH
ManualReferenceLinksSeeder,backend/modules/JeaServices/Database/Seeders/ManualReferenceLinksSeeder.php,artisan db:seed,DatabaseSeeder → ManualReferenceLinksSeeder::run,none,"manual_references, manual_reference_links",none,none,ManualReferenceLinksSeederTest,SEEDER_ONLY,HIGH
