SERVICE_CODE,ARABIC_NAME,ENGLISH_NAME,PARENT_CODE,PHASE,CATALOG,SCHEMA,DOCUMENTS,FEES,WORKFLOW,ELIGIBILITY,GUARDS,CALCULATIONS,INTEGRATIONS,FRONTEND,TESTS,RUNTIME_CONNECTION,UAT,PRODUCTION_ACTIVATION,NOTES
SRV-010,إعادة تصديق تقارير استطلاع الموقع مع إضافات,Survey Re-approval With Additions,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 workflow placeholder
SRV-011,إعادة تصديق تقارير استطلاع الموقع بدون إضافات,Survey Re-approval Without Additions,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 workflow placeholder
SRV-012,تقارير الحفريات — تصميم وإشراف,Excavation Reports — Design & Supervision,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Excavation-supervision workflow
SRV-013,بدل فاقد,Replacement Copy,JEA-SURV,2,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,catalog:2026 placeholder
SRV-014,شهادة الكشف الحسي والكتب الرسمية,Visual Inspection Certificate,JEA-SURV,1,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,TESTED,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Real workflow (visualInspectionWorkflow) from flowchart; NOT a fully specialized workflow
FIN-001,صرف رواتب المهندسين المقيمين,Resident Engineer Salary,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,financial 4-stage workflow; placeholder 50000 JOD fee
FIN-002,صرف دعم الإشراف للمكاتب,Office Supervision Support,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same financial template
FIN-003,إعادة تأمينات المهندس المقيم,Resident Engineer Insurance Refund,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same financial template
FIN-004,دعم المهندسين الأردنيين خارج المملكة,Support Engineers Abroad,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same financial template
FIN-005,ضمان الحق المكتسب / ديون النقابة,Vested Rights / Syndicate Debt,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same financial template
FIN-006,دفع مالي متنوع,Miscellaneous Payment,JEA-FIN,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same financial template
CERT-001,شهادة ممارسة المهنة,Professional Practice Certificate,JEA-CERT,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,certificate 5-stage template
CERT-002,شهادة عضوية النقابة,Syndicate Membership Certificate,JEA-CERT,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same certificate template
CERT-003,شهادة الاختصاص,Specialization Certificate,JEA-CERT,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same certificate template
CERT-004,شهادة رئيس الاختصاص,Head of Specialization Cert.,JEA-CERT,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same certificate template
CERT-005,شهادة مطابقة الخبرة,Experience Match Certificate,JEA-CERT,3,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,certificateSite variant
CERT-006,شهادة توفر مواقف السيارات,Parking Availability Cert.,JEA-CERT,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Restored per JEA product decision
ENG-001,تسجيل مهندسين جدد,New Engineer Registration,JEA-ENG,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,engineer 4-stage template
ENG-002,تحديث بيانات المهندسين,Engineer Data Update,JEA-ENG,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same engineer template
DEC-001,قرارات مجلس النقابة العامة,General Board Decisions,JEA-DEC,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,board 5-stage template
DEC-002,قرارات مجلس الاختصاصات,Specialization Board Decisions,JEA-DEC,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same board template
DEC-003,قرارات المجلس التنفيذي,Executive Board Decisions,JEA-DEC,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same board template
DEC-004,قرارات مجلس المحافظات,Governorate Board Decisions,JEA-DEC,4,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same board template
MSC-001,طلب معلومات / استفسار,Information Request,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,directResponse 2-stage
MSC-002,طلب تعديل بيانات المكتب,Office Data Amendment,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-003,طلب توسيع اختصاصات المكتب,Office Specialization Expansion,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-004,طلب إعفاءات مهنية,Professional Exemption Request,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-005,طلب تحويل تخصص,Specialization Transfer,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-006,طلبات إدارية عامة,General Administrative Request,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-007,شكاوى إدارية داخلية,Internal Complaints,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-008,طلب تسوية أوضاع مكتب,Office Status Rectification,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-009,طلب اعتماد نسخة عن مستندات,Document Attestation,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-010,طلب صرف تعويض مالي,Financial Compensation Request,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-011,طلبات تدقيق حسابات المكاتب,Office Account Audit,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
MSC-012,طلب معاينة موقع لغايات إدارية,Site Inspection for Admin Purposes,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,inspection 4-stage template
MSC-014,طلبات متنوعة أخرى,Other Miscellaneous Requests,JEA-MISC,5,DEFINED,PLACEHOLDER,ABSENT,DEFINED,DEFINED,DEFINED,ABSENT,ABSENT,ABSENT,PARTIAL,UNKNOWN,RUNTIME_CONNECTED,UNKNOWN,PARTIAL,Same directResponse
