FEATURE,GENERIC_ENGINE_HANDLES,SERVICE_SPECIFIC_CODE,SERVICE_SPECIFIC_DATA,COMMONALITY_TYPE,EVIDENCE
SRV-001 wells count calculation (PROVISIONAL),NO,WellsCountCalculator::compute,area_m2 → wells count band,SERVICE_SPECIFIC_CALCULATION,WellsCountCalculator.php header comment: source محضر اجتماع 2026-07-26 §X — NOT JEA-approved
SRV-001 net depth table (PROVISIONAL),NO,NetDepthTable::forFloors,floor_count → third/two_thirds/total depths,SERVICE_SPECIFIC_CALCULATION,NetDepthTable.php header comment: source محضر اجتماع 2026-07-26 §XI — invariant third+two_thirds≠total not resolved
Auto-fill area_m2 + governorate from project,NO,frontend Apply.tsx hardcoded field-id,when project_id present these two fields auto-fill,SERVICE_INDEPENDENT_FIELD_CONVENTION,frontend/src/modules/JeaServices/pages/Apply.tsx — only field-id references anywhere in frontend
Special-study tagging (SRV-001),NO,Srv001Guard::validate,writes app.data.technical_review_required = true when SPECIAL_STUDY_REQUIRED,SERVICE_SPECIFIC_BUSINESS_RULE,Srv001Guard.php
Drawing fee matrix (governorate×building_class),YES (matrix engine),NONE,schema.fee={type:matrix rows:...},PURE_COMMON,DrawingFeeMatrixSeeder + FeeCalculator matrix path
Solar per-kW fee (DRW-P-006),YES (per_unit engine),NONE,schema.fee={type:per_unit unit:kW rate:4},PURE_COMMON,SolarFeeSeeder + FeeCalculator per_unit path
Excavation 3.5 JOD/m² (SRV-007 SRV-012),YES (per_unit engine),NONE,schema.fee={type:per_unit unit:m2 rate:3.5},PURE_COMMON,ExcavationFeeSeeder + FeeCalculator per_unit path
Survey 150 fils/lm + 1% (SRV-001..006),YES (per_unit engine),NONE,schema.fee={type:per_unit unit:lm rate:0.150 surcharge:0.01},PURE_COMMON,SiteSurveyFeesSeeder + FeeCalculator per_unit path
Reviewer stage claim/release/decide,YES,NONE,schema.workflow.stages[].role,PURE_COMMON,WorkflowEngine
first_auditor_is_external (SRV-001),YES (schema.workflow.stages[0].external),NONE,schema flag,PURE_COMMON via schema,SurveyWorkflowsSeeder soilProposedWorkflow — expressed as schema flag not code branch
Certificate template selection,YES,NONE,schema.certificate_template,PURE_COMMON,CertificatesController::downloadPdf
Modifications-requested cycle,YES,NONE,schema.workflow.stages[].can_request_modifications,PURE_COMMON,WorkflowEngine::decide + review_round column
