SERVICE_CODE,PARENT_CODE,PHASE,FEE_STATUS,FEE_EVIDENCE,WORKFLOW_STATUS,WORKFLOW_EVIDENCE,DOCUMENT_STATUS,DOCUMENT_EVIDENCE,FIELDS_STATUS,GUARD_STATUS,CALCULATOR_STATUS,RUNTIME_WIRING,BUSINESS_APPROVAL,SRS_CONFORMANCE
SRV-003,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-004,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-005,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-006,JEA-SURV,1,REAL_UNAPPROVED,SiteSurveyFeesSeeder,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-007,JEA-SURV,1,REAL_UNAPPROVED,ExcavationFeeSeeder (3.5 JOD/m²; JORD-64),SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder excavationSupportDesignWorkflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-008,JEA-SURV,1,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder materials workflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-009,JEA-SURV,1,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder materials-existing workflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-010,JEA-SURV,1,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-011,JEA-SURV,1,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-012,JEA-SURV,1,REAL_UNAPPROVED,ExcavationFeeSeeder,SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder excavation-supervision workflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-013,JEA-SURV,2,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
SRV-014,JEA-SURV,1,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,SOURCE_DERIVED_UNAPPROVED,SurveyWorkflowsSeeder visualInspectionWorkflow,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-001,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder financial template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-002,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-003,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-004,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-005,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
FIN-006,JEA-FIN,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-001,JEA-CERT,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder certificate template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-002,JEA-CERT,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-003,JEA-CERT,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-004,JEA-CERT,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-005,JEA-CERT,3,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder certificateSite template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
CERT-006,JEA-CERT,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
ENG-001,JEA-ENG,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder engineer template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
ENG-002,JEA-ENG,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DEC-001,JEA-DEC,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder board template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DEC-002,JEA-DEC,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DEC-003,JEA-DEC,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
DEC-004,JEA-DEC,4,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-001,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder directResponse template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-002,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-003,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-004,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-005,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-006,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-007,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-008,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-009,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-010,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-011,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-012,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder inspection template,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
MSC-014,JEA-MISC,5,PLACEHOLDER,ServiceFeeDefaultsSeeder 50000 JOD,TEMPLATE,CatalogWorkflowsSeeder,ABSENT,no doc seeder,PLACEHOLDER,ABSENT,ABSENT,GENERIC_ENGINE,UNCONFIRMED,NOT_APPLICABLE
