provision_id,manual_title,manual_year,chapter_number,chapter_title,section_number,section_title,page_number,paragraph_sequence,source_text_ar,normalized_rule_ar,rule_subject,rule_object,trigger,preconditions,required_conditions,prohibitions,exceptions,alternative_path,effect,failure_effect,responsible_actor,affected_actor,timing,duration,unit,formula,rounding_rule,evidence_level,interpretation_confidence,interpretation_status,notes
JEA-TM2025-CH03-P036-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,001,"يكون استطلاع الموقع الزامي لكافة المباني المقترحة في كل مناطق المملكة","استطلاع الموقع إلزامي على جميع الأبنية المقترحة في كافة مناطق المملكة",owner-and-office,site-survey,proposed-building,building-classified-as-proposed,mandatory-site-survey-report-obtained,none,existing-buildings-are-out-of-this-clause,see-p239-existing-building-rule,site-survey-report-required-before-plan-approval,plan-approval-blocked,office,office,before-drawings-approval,,-,-,-,DIRECT,HIGH,CONFIRMED,"CRITICAL: applies to SRV-001 (proposed buildings) as SERVICE_APPLICABILITY. Does NOT establish applicability for SRV-002 (existing buildings) — those follow p.239 rules."
JEA-TM2025-CH03-P036-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,002,"جميع المباني التي تزيد مساحتها الاجمالية (افقي او عمودي) عن 100 م² في عمان ومراكز المحافظات","التزام استطلاع الموقع للأبنية >100م² (أفقي أو عمودي) في عمان + مراكز المحافظات",owner-and-office,site-survey,area-threshold-in-governorate-center,building-in-Amman-or-governorate-center-AND-total-horizontal-or-vertical-area-gt-100-m2,site-survey-mandatory,none,area-le-100-m2,none,site-survey-report-required,plan-approval-blocked,office,office,before-drawings-approval,,area,total_area>100_m2,-,DIRECT,HIGH,CONFIRMED,"SRV-001 applicability threshold #1. Note the area is horizontal OR vertical — clarify which for multi-story."
JEA-TM2025-CH03-P036-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,003,"جميع المباني التي تزيد مساحتها الاجمالية (افقي او عمودي) عن 150 م² خارج مراكز المحافظات","استطلاع الموقع للأبنية >150م² خارج مراكز المحافظات",owner-and-office,site-survey,area-threshold-outside-governorate-center,building-outside-governorate-center-AND-total-horizontal-or-vertical-area-gt-150-m2,site-survey-mandatory,none,area-le-150-m2,none,site-survey-report-required,plan-approval-blocked,office,office,before-drawings-approval,,area,total_area>150_m2,-,DIRECT,HIGH,CONFIRMED,"SRV-001 applicability threshold #2. Combined with p.036-002 gives geo-conditional trigger."
JEA-TM2025-CH03-P036-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,004,"تحسم مساحات (البروزات المعمارية التجميلية + مكرر الدرج على السطح + المظلات) عند احتساب المساحات الاجمالية لغايات تقرير استطلاع الموقع","تحسم من المساحات: البروزات المعمارية التجميلية + مكرر الدرج على السطح + المظلات",office,area-calculation,area-computation,computing-total-area-for-site-survey-purposes,exclude-decorative-projections-plus-stair-roof-repeats-plus-canopies,none,none,none,adjusted-area-used-for-threshold-check,incorrect-threshold-application,office,office,at-area-calculation,,area,total_area=raw_area-decorative_projections-stair_roof-canopies,-,DIRECT,HIGH,CONFIRMED,"Definition rule affecting p.036-002/003 area check. Executable if implemented as a derived field."
JEA-TM2025-CH03-P036-005,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,005,"يكون الحد الأدنى لعدد الطوابق لاغراض استطلاع الموقع هو الحد الاقصى المسموح به حسب التنظيم بالإضافة الى طوابق التسوية وطوابق السدد وطابق الروف الذي لا يزيد مساحته عن 50م² ان وجدت عدا الهناجر والمنشات الزراعية التي لا يمكن البناء فوقها ولا يوجد ضمنها تسويات او أقبية","عدد الطوابق لأغراض الاستطلاع = الحد الأقصى المسموح للتنظيم + طوابق التسوية + طوابق السدد + طابق روف (≤50م² للاستثناء) — يستثنى الهناجر/الزراعي بلا تسوية أو قبو",office,floor-count-for-survey,floor-count-calculation,computing-floor-count-for-survey-purposes,include-regulation-max-plus-basements-plus-mezzanines-plus-roof-floor-if-area-le-50-m2,none,hangars-or-agricultural-without-basement-or-cellar-are-excluded,none,adjusted-floor-count-used-in-p230-232-matrix,wrong-matrix-cell-selected,office,office,at-floor-count-calculation,,floor,floor_count=max_regulation+basement+mezzanine+roof_if_area_le_50,-,DIRECT,HIGH,CONFIRMED,"CRITICAL: this is the input rule for the pp230-232 exploration matrix. floor_count is NOT the visible architectural floor count — it's the DERIVED value including basements, mezzanines, roof-if-small. Executable as derived field."
JEA-TM2025-CH03-P036-006,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,006,"توقيع اتفاقية (عقد) بين المالك شخصياً او من ينوب عنه او المكتب المصمم كطرف اول وبين مكتب استطلاع الموقع كطرف ثان حسب نماذج النقابة يحدد به تاريخ العقد وبدل الأتعاب وتوقيع الفريقين مع الأخذ بعين الاعتبار جميع البنود الواردة في الاتفاقية واية شروط خاصة اضافية يتفق عليها الطرفان مع عدم تناقضها مع تعليمات النقابة المعتمد من هذا العقد في النظام الإلكتروني المعتمد لدى النقابة والإحتفاظ بالأصول العقود لدى المكتب لإبراز الطلب","عقد استطلاع الموقع: توقيع بين (المالك شخصياً / مندوب / المكتب المصمم) كطرف أول والمكتب المستطلع كطرف ثان؛ نموذج النقابة؛ تاريخ + أتعاب + توقيعان؛ لا تناقض مع تعليمات النقابة؛ رفع نسخة على النظام الإلكتروني؛ الأصل يبقى في المكتب",owner-representative-or-designer-and-survey-office,survey-contract,submission,parties-executed-agreement-on-JEA-form,upload-signed-copy-to-electronic-system-and-retain-original-at-office,any-clause-contradicting-JEA-instructions,none,none,contract-recorded,submission-blocked,owner-representative-office,survey-office,before-report-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"CRITICAL: this is the source rule for the survey_contract document. Applies to SRV-001 (proposed) AND SRV-002 (existing) AND likely SRV-003..006. Existing repo: JORD-85-srv linked to SRV-001.survey_contract."
JEA-TM2025-CH03-P036-007,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,007,"تقديم تقرير مساح مرخص او تقرير من المكتب المتعاقد من قبله موضحاً حدود القطعة وابعادها وطبوغرافيتها ومحيط القطعة من اسوار او ابنية او شوارع او خدمات","تقديم تقرير مساح مرخص (أو من المكتب المتعاقد) يوضح: حدود القطعة + أبعاد + طبوغرافيا + محيط القطعة (أسوار/أبنية/شوارع/خدمات)",office-or-licensed-surveyor,parcel-survey-report,submission,none,submission-of-licensed-surveyor-report-with-parcel-boundaries-dimensions-topography-and-surroundings,none,none,none,parcel-info-recorded,submission-blocked,office-or-surveyor,office,at-submission,,-,-,-,DIRECT,HIGH,CONFIRMED,"New document candidate: licensed_surveyor_report OR parcel_survey_map. Not currently in SRV-001 schema. Cross-check needed for DRW-P-* which lists site_plan + topographic_plan."
JEA-TM2025-CH03-P036-008,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,008,"اضافة مخطط موقع عام مفصل داخل التقرير يحتوي على موقع البناء بالنسبة للقطعة وحد الحفر وحدود القطعة وأبعادها وطبوغرافيا ومحيط القطعة","مخطط موقع عام مفصل داخل التقرير يشمل: موقع البناء داخل القطعة + حد الحفر + حدود القطعة + أبعاد + طبوغرافيا + محيط",office,internal-site-plan,report-preparation,preparing-report,inclusion-of-detailed-general-site-plan-showing-building-location-plus-excavation-limit-plus-boundaries-plus-dimensions-plus-topography-plus-surroundings,none,none,none,report-content-complete,report-rejected,office,office,at-report-preparation,,-,-,-,DOCUMENT_CONTENT_REQUIREMENT,HIGH,CONFIRMED,"Report internal-content requirement. Applies to site_investigation_report document."
JEA-TM2025-CH03-P036-009,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,36,009,"إرسال تقرير استطلاع الموقع للنقابة مباشرة ليتم تدقيقه واجازته حسب الاصول","إرسال تقرير استطلاع الموقع مباشرة إلى النقابة للتدقيق والإجازة",office,site-investigation-report,submission,report-ready,direct-submission-to-JEA-for-audit-and-approval,submission-via-intermediary-office,none,none,report-enters-audit,delay-in-approval,office,office,at-report-submission,,-,-,-,WORKFLOW_CONDITION,HIGH,CONFIRMED,"Origin of JORD-86. Direct-submission channel. Applies to SRV-001..006 site-survey report path."
JEA-TM2025-CH03-P037-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,37,001,"المحافظة على الآبار السبرية المحفورة والعينات لمدة عشرة ايام من تاريخ احضار التقرير الى النقابة من أجل التدقيق وللنقابة الحق خلال هذه المدة الكشف على هذه الآبار والعينات المستخرجة على أنه وفي الحالات الاستثنائية مثل رغبة المالك بإجراء حفريات التسوية المستعجلة تعلم النقابة قبل يومين من اجراء هذه الحفريات ليتسنى لها القيام بالكشف بالطلب إن لزم الأمر","الآبار والعينات: تُحفظ 10 أيام من تاريخ إحضار التقرير للنقابة؛ للنقابة الحق بالكشف خلال المدة. استثناء: حفريات التسوية المستعجلة تُعلَم النقابة قبل يومين",owner-and-survey-office,boreholes-and-samples,post-report-submission,report-submitted,retain-boreholes-and-samples-for-10-days-from-report-submission,premature-destruction,expedited-settlement-excavations-notify-JEA-2-days-prior,none,JEA-may-inspect,inspection-blocked-plus-possible-sanction,office,office-and-JEA,post-submission,10-days,day,-,-,DIRECT,HIGH,CONFIRMED,"Origin of JORD-88 (10-day retention). Applies to SRV-001..006. Exception path for expedited settlement excavations = 2-day pre-notice. Existing repo: JORD-88 does not currently include the 2-day exception."
JEA-TM2025-CH03-P037-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,37,002,"التوقيع على التقرير من قبل رئيس الاختصاص في المكتب مع ذكر الاسم ورقم التسجيل ويتحمل المهندس والمكتب مسؤولية ما ورد في التقرير","توقيع التقرير من رئيس الاختصاص مع الاسم ورقم التسجيل؛ المهندس والمكتب يتحملان المسؤولية عن محتواه",office-and-specialty-head,site-investigation-report,report-preparation,report-ready-for-signature,signature-by-specialty-head-with-explicit-name-and-registration-number,none,none,none,report-carries-personal-and-office-liability,report-rejected,specialty-head-and-office,office-plus-engineer,at-report-signing,,-,-,-,DOCUMENT_CONTENT_REQUIREMENT + RESPONSIBILITY_RULE + REVIEW_RULE,HIGH,CONFIRMED,"Origin of JORD-87. Applies to SRV-001 (existing repo) and should extend to SRV-002..006. Reviewer verifies signature block."
JEA-TM2025-CH03-P037-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,37,003,"على المالك و/أو المكتب المشرف اعلام مكتب استطلاع الموقع خطياً عند انتهاء حفريات الأساسات وعلى مكتب استطلاع الموقع الكشف على الموقع حالاً والتأكد من ان توصياته منسجمة مع الواقع وإجراء التغييرات اللازمة عند الضرورة وإعلام النقابة بذلك","المالك و/أو المكتب المشرف يعلمان مكتب الاستطلاع خطياً عند انتهاء حفريات الأساسات؛ المكتب يكشف حالاً؛ يعدل التوصيات إن لزم؛ يعلم النقابة",owner-or-supervising-office,foundation-excavation-completion-notification,post-foundation-excavation,foundation-excavation-complete,written-notification-to-survey-office-and-site-inspection-and-recommendation-adjustment-and-JEA-notification,none,none,none,recommendations-verified-or-revised,recommendations-remain-unverified,owner-or-supervising-office,survey-office-and-JEA,post-foundation-excavation,,-,-,-,POST_SUBMISSION_OBLIGATION,HIGH,CONFIRMED,"Post-submission workflow rule. Not yet represented in any JORD or existing schema. Involves 3 actors: owner/supervisor, survey office, JEA."
JEA-TM2025-CH03-P037-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,37,004,"في حال تعذر دخول اليات الحفر الى داخل الموقع لسبب ما يجب فتح طريق التنفيذ الموقع ان امكن وان تعذر ذلك يمكن ادخال المعاملة الى النقابة بعقد مؤجل التنفيذ وحسب التعليمات التالية (احضار كتاب من مكتب استطلاع الموقع بمعلومات القطعة وتحديد طبيعة العوائق وارفاق مخطط طبوغرافي للموقع وصور ومخطط موقع عام ووصف للموقع من حيث الأبنية المجاورة والخدمات والشوارع المحيطة، المناسيب وتأثير أعمال الحفر على الجوار)","إذا تعذر دخول آليات الحفر: فتح طريق التنفيذ إن أمكن؛ إذا تعذر يُقدَّم عقد مؤجل مع (1) طلب تصريح حفر مؤقت/جزئي من الأمانة (2) كتاب من مكتب الاستطلاع + طبيعة العوائق + مخطط طبوغرافي + صور + مخطط موقع + وصف الأبنية المجاورة والخدمات والشوارع والمناسيب وتأثير الحفر على الجوار",owner-and-survey-office,deferred-execution-contract-path,drilling-access-blocked,machinery-cannot-enter-site,submission-of-deferred-contract-with-full-documentation-package,none,successful-machinery-access-obviates-this-path,partial-excavation-permit-from-Amanah-when-possible,application-may-enter-deferred-execution-path,application-blocked-until-obstacles-cleared,office,office-and-Amanah-and-JEA,at-site-access-blockage,,-,-,-,ALTERNATIVE_PATH,HIGH,CONFIRMED,"CRITICAL: This is the SRV-003 (deferred site survey) trigger + the SRV-004 (deferred contract) domain. Extensive documentation package required. Multiple actors."
JEA-TM2025-CH03-P037-005,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,37,005,"الكشف على الموقع من خلال النقابة وبحضور ممثل المكتب او تقديم صور واضحة لتقييم الوضع من حيث (التأكد من طبيعة العوائق وبيان إمكانية فتح طريق للوصول للموقع، طبوغرافية الموقع وأي عوائق اخرى، تحديد إمكانية عمل حفر تجريبية وأبار سبرية في محيط الموقع)","الكشف على الموقع من خلال النقابة بحضور ممثل المكتب أو صور واضحة تُقيِّم: طبيعة العوائق + طريق الوصول + طبوغرافيا + إمكانية حفر تجريبي/سبري في المحيط",office-and-JEA,site-inspection-for-deferred-case,drilling-access-blocked,site-access-blocked-and-deferred-contract-being-considered,JEA-site-inspection-with-office-representative-or-photographic-evaluation-of-obstacles-access-topography-and-alternative-drilling-feasibility,none,none,none,inspection-report-forms-deferred-approval-basis,deferred-approval-blocked,office-and-JEA,office,at-deferred-consideration,,-,-,-,WORKFLOW_CONDITION,HIGH,CONFIRMED,"Deferred-case workflow — feeds SRV-003 or the deferred variant of SRV-001."
JEA-TM2025-CH03-P038-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,38,001,"وضع تأمينات بضعف قيمة العقد المؤجل لدى النقابة","تأمينات = 2 × قيمة العقد المؤجل تُودَع لدى النقابة",owner,deposit,deferred-contract-execution,deferred-contract-approved,deposit-of-2x-contract-value,none,none,none,application-progresses,application-blocked,owner,JEA,at-deferred-approval,,JOD,deposit=contract_value*2,-,DIRECT,HIGH,CONFIRMED,"Executable calculation. 2x multiplier is unambiguous. Cross-service impact: SRV-003/004 domain. Currently no fee/deposit calculator implements this."
JEA-TM2025-CH03-P038-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,38,002,"إرفاق التعهدات من قبل المالك مصادقاً على توقيعه من البنك أو التوقيع أمام موظف النقابة والمكتب الهندسي المشرف بضرورة انجاز أعمال استطلاع الموقع عند إزالة العوائق وتعديل المخططات الهندسية في حال أي اختلاف تتطلب إعادة التصميم في التقرير النهائي","تعهدات المالك (مصادقة بنك أو أمام موظف النقابة) + المكتب المشرف: بإنجاز أعمال الاستطلاع عند إزالة العوائق وتعديل المخططات إن لزم",owner-and-supervising-office,written-undertakings,deferred-contract-execution,deferred-contract-approved,submission-of-bank-certified-or-JEA-witnessed-undertakings-covering-post-clearance-execution-and-plan-modification,none,none,none,undertakings-recorded,application-blocked,owner-and-office,JEA,at-deferred-approval,,-,-,-,DOCUMENT_REQUIREMENT,HIGH,CONFIRMED,"Additional document type for deferred case: owner_undertaking + office_undertaking. Not yet in SRV schema."
JEA-TM2025-CH03-P038-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,38,003,"في حال عدم تطابق تقرير استطلاع الموقع مع مخططات التصميم للأبنية القائمة يتم تقديم دراسة إنشائية لتحديد العمق الذي يمكن عنده اهمال تأثير المنشأ على مواد التأسيس وحسب ما هو وارد في كود استطلاع الموقع وتقديم عقد بفرق الأمتار وبالسعر المعتمد","للأبنية القائمة: إذا لم يتطابق تقرير الاستطلاع مع المخططات التصميمية → تقديم دراسة إنشائية تحدد عمق إهمال تأثير المنشأ على مواد التأسيس (وفق كود الاستطلاع) + عقد بفرق الأمتار بالسعر المعتمد",office,structural-study-and-supplementary-contract,report-design-nonconformance,building-is-existing-AND-report-does-not-match-design-drawings,submission-of-structural-study-plus-supplementary-contract-for-depth-difference,none,none,none,application-proceeds-with-additional-documents,application-blocked,office-and-structural-engineer,office-and-JEA,at-nonconformance-detection,,-,-,-,CONDITIONAL_DOCUMENT + REVIEWER_FINDING,HIGH,CONFIRMED,"CRITICAL / Case A verification: trigger = REPORT_DESIGN_NONCONFORMANCE for EXISTING BUILDINGS. NOT exploration-shortfall. Applies to SRV-002. Depth-difference contract fee = 'السعر المعتمد' — UNRESOLVED which schedule."
JEA-TM2025-CH03-P038-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,38,004,"يتحمل مكتب استطلاع الموقع المسؤولية الواردة في تقرير فحص الموقع التي تشمل موقع البناء كاملاً وليس جزئياً وعليه أن يتصرف من خلال هذا المفهوم","مكتب استطلاع الموقع يتحمل مسؤولية التقرير لكامل موقع البناء (لا يجزّأ)",survey-office,site-survey-scope,report-preparation,report-covers-any-portion-of-site,report-must-cover-full-site-scope,partial-scope-coverage,none,none,report-liability-covers-full-site,liability-question-on-partial-report,survey-office,survey-office,at-report-preparation,,-,-,-,RESPONSIBILITY_RULE,HIGH,CONFIRMED,"Reviewer-verified. Not a form field or executable rule. Contract-scope guarantee."
