JEA-TM2025-CH03-P036-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,SERVICE_APPLICABILITY,,proposed buildings only,service,-,BASE,-,YES,NO,,HIGH,CONFIRMED,ServicePlan2026Seeder registers SRV-001 for proposed,p.36 §6.a,Case A/B distinguishes proposed vs existing
JEA-TM2025-CH03-P036-001,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,NOT_APPLICABLE,SERVICE_APPLICABILITY,,-,-,-,-,-,YES,YES,SRV-002 applicability governed by p.239-001 not p.036-001,HIGH,CONFIRMED,-,p.36 §6.a says المباني المقترحة only,Critical: SRV-002 has different applicability rule
JEA-TM2025-CH03-P036-002,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,VALIDATION_RULE,area_gt_100_m2+in_governorate_center,total area threshold,field,floor_area/total_area,CONDITIONAL_TRIGGER,APPLICANT,YES,NO,,HIGH,CONFIRMED,,p.36 §6.a bullet 1,100m² threshold in Amman + governorate centers
JEA-TM2025-CH03-P036-003,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,VALIDATION_RULE,area_gt_150_m2+outside_governorate_center,,field,floor_area/total_area,CONDITIONAL_TRIGGER,APPLICANT,YES,NO,,HIGH,CONFIRMED,,p.36 §6.a bullet 2,150m² threshold outside governorate centers
JEA-TM2025-CH03-P036-005,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_INPUT,,floor count for exploration matrix includes basements+roof≤50m²,field,floor_count,DERIVED,APPLICANT,YES,NO,,HIGH,CONFIRMED,SRV-001 floor_count field exists but does NOT apply this derivation rule,p.36 §6.b,DISCREPANCY: existing schema treats floor_count as raw applicant input; should be DERIVED per this rule
JEA-TM2025-CH03-P036-006,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_REQUIREMENT,,survey contract required at submission,document,survey_contract,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,JORD-85-srv linked to SRV-001.survey_contract,p.36 §6.c,VERIFIED alignment
JEA-TM2025-CH03-P036-006,SRV-002 through SRV-006,-,JEA-SURV,SHARED,DOCUMENT_REQUIREMENT,,same survey contract rule,document,survey_contract,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,-,p.36 §6.c,SHOULD extend beyond SRV-001 to SRV-002..006 per shared source
JEA-TM2025-CH03-P036-007,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_REQUIREMENT,,licensed surveyor report OR office-produced parcel report,document,licensed_surveyor_report/parcel_report,BASE,APPLICANT,YES,NO,,MEDIUM,PROVISIONAL,NOT_YET_IN_SCHEMA,p.36 §6.d,New required document type; not in current SRV-001 schema
JEA-TM2025-CH03-P036-009,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,WORKFLOW_CONDITION,,direct submission to JEA channel,workflow_stage,submission_channel,BASE,-,YES,NO,,HIGH,CONFIRMED,JORD-86 linked to SRV-001.site_investigation_report,p.36 §6.f,VERIFIED
JEA-TM2025-CH03-P036-009,SRV-002 through SRV-006,-,JEA-SURV,SHARED,WORKFLOW_CONDITION,,,workflow_stage,submission_channel,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.36 §6.f,Should extend to SRV-002..006
JEA-TM2025-CH03-P037-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,POST_SUBMISSION_OBLIGATION,,10-day borehole retention,rule,borehole_sample_retention,BASE,-,NO,NO,,HIGH,CONFIRMED,JORD-88 linked to SRV-001,p.37 §6.z,VERIFIED. 2-day exception path NOT captured in existing JORD-88
JEA-TM2025-CH03-P037-001,SRV-002 through SRV-006,-,JEA-SURV,SHARED,POST_SUBMISSION_OBLIGATION,,same 10-day rule,rule,borehole_sample_retention,BASE,-,NO,NO,,HIGH,CONFIRMED,,p.37 §6.z,Should extend to SRV-002..006
JEA-TM2025-CH03-P037-002,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_CONTENT_REQUIREMENT+RESPONSIBILITY_RULE,,specialty head signature with name and reg number,document,site_investigation_report,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,JORD-87 linked to SRV-001.site_investigation_report,p.37 §6.h,VERIFIED
JEA-TM2025-CH03-P037-004,SRV-003,تقارير استطلاع الموقع المؤجلة,JEA-SURV,DIRECT,ALTERNATIVE_PATH,drilling_access_blocked,deferred contract execution path with 8-item documentation,workflow_stage,deferred_execution_path,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,SRV-003 exists but no schema/workflow implemented,p.37 §6.y bullet 2 + p.38,SRV-003 is essentially unimplemented; this provision is its source
JEA-TM2025-CH03-P037-004,SRV-004,تقارير استطلاع الموقع للمشاريع الكبرى,JEA-SURV,NOT_APPLICABLE,-,,SRV-004 is for large projects not deferred,-,-,-,-,YES,YES,Deferred and large are different services,MEDIUM,CONFIRMED,-,p.37,Case D-style clarification
JEA-TM2025-CH03-P038-001,SRV-003,تقارير استطلاع الموقع المؤجلة,JEA-SURV,DIRECT,FEE_RULE,deferred_contract_approved,2x deposit,rule,deferred_contract_deposit,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,FIN-004 exists for deferred contract deposit refund but no deposit calculator,p.38,Executable 2x multiplier; not currently in a fee calculator
JEA-TM2025-CH03-P038-003,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,CONDITIONAL_DOCUMENT+REVIEWER_FINDING,report_design_nonconformance,structural study + supplementary contract,document,structural_study_nonconformance/depth_difference_contract,CONDITIONAL,REVIEWER-TRIGGERED,YES,NO,,HIGH,CONFIRMED,SRV-002 schema does not model this yet,p.38 §6.m,CRITICAL / Case A: trigger = report/design nonconformance NOT exploration shortfall
JEA-TM2025-CH03-P038-005,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,report_design_nonconformance_proposed,drill additional wells for shortfall,rule,exploration_shortfall_remediation_proposed,CONDITIONAL,REVIEWER-TRIGGERED,YES,NO,,HIGH,CONFIRMED,,p.38 §6.m preceding paragraph,Different rule from SRV-002 §6.م — this is the PROPOSED remediation
JEA-TM2025-CH03-P040-001,SRV-008,تقارير فحص المواد للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_REQUIREMENT,resident_engineer_registered,materials testing contract required,document,materials_testing_contract,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,SRV-008 exists but no schema populated (placeholder),p.40 §8.a,
JEA-TM2025-CH03-P040-001,SRV-009,تقارير فحص مواد للأبنية القائمة,JEA-SURV,DIRECT,DOCUMENT_REQUIREMENT,resident_engineer_registered,,document,materials_testing_contract,BASE,APPLICANT,YES,NO,,HIGH,CONFIRMED,SRV-009 exists but no schema populated,p.40 §8.a,
JEA-TM2025-CH03-P040-002,SRV-007,تقارير تدعيم الحفريات — تصميم وإشراف,JEA-SURV,DIRECT,FEE_RULE,,3.5 JOD/m² shoring design fee,rule,shoring_design_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,ExcavationFeeSeeder applies this,p.40 §9,VERIFIED alignment
JEA-TM2025-CH03-P040-003,SRV-012,تقارير الحفريات — تصميم وإشراف,JEA-SURV,DIRECT,FEE_RULE,,2.5 JOD/m² supervision + salaries,rule,shoring_supervision_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.40 §9,Not currently in fee calculator for SRV-012 explicitly
JEA-TM2025-CH03-P040-004,SRV-007,تقارير تدعيم الحفريات — تصميم وإشراف,JEA-SURV,DIRECT,FEE_RULE,,500 fils/m² audit committee fee max 5000 JOD,rule,shoring_audit_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.40 §9,Not currently in fee calculator
JEA-TM2025-CH03-P041-001,SRV-007,تقارير تدعيم الحفريات — تصميم وإشراف,JEA-SURV,DIRECT,FEE_RULE,,2000 JOD deposit,rule,shoring_deposit,BASE,-,YES,NO,,HIGH,CONFIRMED,FIN-005 exists for refund but no deposit trigger,p.41 §9 bullet 6,
JEA-TM2025-CH03-P041-002,SRV-004,تقارير استطلاع الموقع للمشاريع الكبرى,JEA-SURV,DIRECT,WORKFLOW_CONDITION,area_gt_10000_m2,specialized supervising engineer,workflow_stage,supervising_engineer_appointment,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.41 §9 bullet 7,
JEA-TM2025-CH03-P043-001,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,ROUTING_RULE,,area+governorate routing to branch,workflow_stage,plan_audit_routing,BASE,-,YES,NO,,HIGH,CONFIRMED,NOT MODELED,p.43 §10,CRITICAL routing rule not currently in any workflow
JEA-TM2025-CH03-P044-001,DRW-P-005,مخططات المشاريع الكبرى,JEA-PROJ,DIRECT,SERVICE_APPLICABILITY,area>25000 OR depth>350 OR floors>15,large project classification,rule,large_project_classification,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.44 §13,Executable classification rule not modeled
JEA-TM2025-CH03-P044-001,SRV-004,تقارير استطلاع الموقع للمشاريع الكبرى,JEA-SURV,DIRECT,SERVICE_APPLICABILITY,same criteria,,rule,large_project_classification,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.44 §13,SRV-004 triggered by same criteria
JEA-TM2025-CH07-P092-001,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,FEE_RULE,,Amman fee matrix,rule,drawing_fee_matrix_amman,BASE,-,YES,NO,,HIGH,CONFIRMED,DrawingFeeMatrixSeeder implements JORD-63,p.92,VERIFIED alignment
JEA-TM2025-CH07-P092-002,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,FEE_RULE,,rest of kingdom fee matrix,rule,drawing_fee_matrix_rest,BASE,-,YES,NO,,HIGH,CONFIRMED,DrawingFeeMatrixSeeder,p.92,VERIFIED
JEA-TM2025-CH07-P092-002,SRV-001 through SRV-014,-,JEA-SURV,NOT_APPLICABLE,-,,fee matrix does NOT apply to survey services,-,-,-,-,YES,YES,Case C: fee matrix scoped to design/drawings not survey,HIGH,CONFIRMED,-,p.92 context,VERIFIED
JEA-TM2025-CH07-P092-004,DRW-P-006,مخططات مشاريع الطاقة,JEA-PROJ,DIRECT,FEE_RULE,,4 JOD/kW solar fee,rule,solar_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,SolarFeeSeeder implements JORD-64-solar,p.92,VERIFIED alignment
JEA-TM2025-CH07-P093-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,FEE_RULE,,20 JOD/lm minimum survey OFFICE fee,rule,survey_office_fee_minimum,BASE,-,YES,NO,,HIGH,CONFIRMED,DISCREPANCY: SiteSurveyFeesSeeder currently uses 0.15 JOD/lm which is the JEA syndicate fee not this office fee,p.93,CRITICAL DISCREPANCY documented
JEA-TM2025-CH07-P093-001,SRV-002 through SRV-006,-,JEA-SURV,SHARED,FEE_RULE,,20 JOD/lm minimum applies,rule,survey_office_fee_minimum,BASE,-,YES,NO,,HIGH,CONFIRMED,,p.93,Same discrepancy applies to SRV-002..006
JEA-TM2025-CH07-P096-001,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,FEE_RULE,,1% syndicate surcharge,rule,syndicate_1pct_surcharge,BASE,-,YES,NO,,HIGH,CONFIRMED,FeeSurchargesSeeder,p.96 §4.a.1,VERIFIED
JEA-TM2025-CH07-P096-001,SRV-001 through SRV-014,-,JEA-SURV,SHARED,FEE_RULE,,,rule,syndicate_1pct_surcharge,BASE,-,YES,NO,,HIGH,CONFIRMED,SiteSurveyFeesSeeder attaches 1% to SRV-001..006,p.96 §4.a.1,VERIFIED for SRV-001..006; missing for SRV-007..014
JEA-TM2025-CH07-P096-002,DRW-P-001 through DRW-P-012,-,JEA-PROJ,SHARED,FEE_RULE,,40 fils/m² audit practice fee,rule,drawing_audit_practice_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,FeeSurchargesSeeder,p.96 §4.a.2,VERIFIED
JEA-TM2025-CH07-P096-002,SRV-001 through SRV-006,-,JEA-SURV,SHARED,FEE_RULE,,150 fils/lm audit practice fee (SEPARATE from office fee),rule,survey_audit_practice_fee,BASE,-,YES,NO,,HIGH,CONFIRMED,SiteSurveyFeesSeeder MIS-INTERPRETS this as THE survey fee,p.96 §4.a.2,CRITICAL DISCREPANCY: this is a JEA surcharge not the office minimum
JEA-TM2025-BOOK2-P219-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,DOCUMENT_CONTENT_REQUIREMENT,,11-section report content,document,site_investigation_report,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,JORD-90 linked,p.219,VERIFIED
JEA-TM2025-BOOK2-P219-001,SRV-002 through SRV-006,-,JEA-SURV,SHARED,DOCUMENT_CONTENT_REQUIREMENT,,,document,site_investigation_report,BASE,REVIEWER,NO,NO,,HIGH,CONFIRMED,,p.219,Should extend
JEA-TM2025-BOOK2-P230-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,,exploration matrix for floors<15,rule,exploration_requirement_matrix,BASE,DERIVED_FROM_APPLICANT_INPUTS,YES,NO,,HIGH,CONFIRMED,JORD-91 + ExplorationRequirementMatrix engine,p.230,VERIFIED for cells covered
JEA-TM2025-BOOK2-P231-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,,+1 lm per borehole foundation depth allowance,rule,exploration_requirement_matrix,BASE,DERIVED,YES,NO,,HIGH,CONFIRMED,ExplorationRequirementMatrix does NOT apply this +1 lm adjustment,p.231,DISCREPANCY candidate — matrix output should be augmented
JEA-TM2025-BOOK2-P231-002,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,area 1201-3000,+1 borehole per 300m² CEILING,rule,extra_borehole_area_band_1,CONDITIONAL,DERIVED,YES,NO,,HIGH,CONFIRMED,Currently ExplorationRequirementMatrix returns SPECIAL_STUDY for area>1200,p.231,DISCREPANCY: area 1201-3000 is CALCULATED per this rule not SPECIAL_STUDY
JEA-TM2025-BOOK2-P231-003,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,area>3000,+1 borehole per 400m² CEILING,rule,extra_borehole_area_band_2,CONDITIONAL,DERIVED,YES,NO,,HIGH,CONFIRMED,Currently SPECIAL_STUDY,p.231,DISCREPANCY: area>3000 has explicit calculation not SPECIAL_STUDY
JEA-TM2025-BOOK2-P232-001,SRV-001,تقارير استطلاع الموقع للأبنية المقترحة,JEA-SURV,DIRECT,CALCULATION_RULE,floor_count>15,high-rise depths table,rule,exploration_high_rise_depths,CONDITIONAL,DERIVED,YES,NO,,HIGH,CONFIRMED,Currently SPECIAL_STUDY,p.232,Per SRV-001 pilot scope decision high-rise is intentionally SPECIAL_STUDY. Documented as out-of-pilot.
JEA-TM2025-BOOK2-P239-001,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,SERVICE_APPLICABILITY,building_status=existing,,service,-,BASE,-,YES,NO,,HIGH,CONFIRMED,SRV-002 exists in ServicePlan2026Seeder,p.239,SRV-002 baseline applicability
JEA-TM2025-BOOK2-P239-003,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,CALCULATION_RULE,,2/3 × proposed baseline for test pits,rule,srv002_test_pit_count,BASE,DERIVED,YES,NO,,HIGH,CONFIRMED_WITH_CONDITION,NOT IMPLEMENTED,p.239 §a,ROUNDING_UNRESOLVED. Would extend ExplorationRequirementMatrix for SRV-002
JEA-TM2025-BOOK2-P239-004,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,CALCULATION_RULE,,1/3 × proposed baseline for boreholes; substitute test pits when access blocked,rule,srv002_borehole_count,BASE,DERIVED,YES,NO,,HIGH,CONFIRMED_WITH_CONDITION,NOT IMPLEMENTED,p.239 §a,ROUNDING_UNRESOLVED
JEA-TM2025-BOOK2-P239-006,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,WORKFLOW_CONDITION,,JEA site inspection,workflow_stage,jea_site_inspection,BASE,-,YES,NO,,HIGH,CONFIRMED,SurveyWorkflowsSeeder soilExistingWorkflow lacks explicit JEA-site-inspection stage,p.239 §a,DISCREPANCY: workflow stage missing
JEA-TM2025-BOOK2-P239-007,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,CONDITIONAL,CONDITIONAL_DOCUMENT,existing_building_case in {LICENSING/ADDITION/CHANGE_OF_USE},sensory inspection report,document,sensory_inspection_report,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,NOT IMPLEMENTED,p.239 §b item 1,
JEA-TM2025-BOOK2-P239-008,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,CONDITIONAL,CONDITIONAL_DOCUMENT,existing_building_case in {LICENSING/ADDITION/CHANGE_OF_USE},foundation inspection report,document,foundation_inspection_report,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,NOT IMPLEMENTED,p.239 §b item 2,
JEA-TM2025-BOOK2-P239-007,SRV-010,إعادة تصديق تقارير استطلاع الموقع مع إضافات,JEA-SURV,PROVISIONAL,SERVICE_APPLICABILITY,ADDITION_ABOVE_EXISTING,ADDITION may map here instead of SRV-002,service,-,BASE,-,YES,NO,,MEDIUM,NEEDS_JEA_CONFIRMATION,SRV-010 exists but the split between SRV-002 §ب items and SRV-010 workflow is unresolved,p.239 §b,NEEDS_JEA_CONFIRMATION
JEA-TM2025-BOOK2-P240-005,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,CONDITIONAL,CONDITIONAL_DOCUMENT,building_case_triggers,structural technical report with recommendations,document,structural_technical_report,CONDITIONAL,APPLICANT,YES,NO,,HIGH,CONFIRMED,NOT IMPLEMENTED,p.240 §b item 7,
JEA-TM2025-BOOK2-P240-005,SRV-009,تقارير فحص مواد للأبنية القائمة / الدراسة الإنشائية,JEA-SURV,SHARED,DOCUMENT_REQUIREMENT,,potentially covered by SRV-009,document,structural_technical_report,BASE,APPLICANT,YES,NO,,MEDIUM,NEEDS_JEA_CONFIRMATION,SRV-009 name mentions الدراسة الإنشائية,p.240 §b item 7,Possible SRV-002 vs SRV-009 boundary question
JEA-TM2025-BOOK2-P240-008,SRV-002,تقارير استطلاع الموقع للأبنية القائمة,JEA-SURV,DIRECT,VALIDATION_RULE,,lab tests from JEA-approved office,rule,lab_source_validation,BASE,REVIEWER,YES,NO,,HIGH,CONFIRMED,NOT IMPLEMENTED,p.240 §b item 10,Cross-service reference from SRV-002 to SRV-008/009 approval status
