service_code,document_id,label_ar,category,report_type,base_or_conditional,trigger,required,applicant_uploaded,reviewer_generated,manual_provision_ids,accepted_file_types,maximum_size,signature_requirements,document_content_requirements,workflow_stage,reports_panel_visibility,existing_repository_support,decision,gap_reason
SRV-002,structural_test_report,تقرير فحص العناصر الإنشائية,REPORT,STRUCTURAL_TEST,CONDITIONAL,existing_building_case triggers,YES (when triggered),YES,NO,JEA-TM2025-BOOK2-P240-003+004,pdf,25MB,-,concrete cores+rebar sections per national code,office_submission,YES,NOT_PRESENT,PROPOSE_ADD,§ب items 5+6 combined
SRV-002,structural_technical_report,التقرير الفني الإنشائي,REPORT,STRUCTURAL_STUDY,CONDITIONAL,existing_building_case triggers,YES (when triggered),YES,NO,JEA-TM2025-BOOK2-P240-005,pdf,25MB,-,test results + recommendations,office_submission,YES,NOT_PRESENT,PROPOSE_ADD_WITH_SRV009_BOUNDARY_UNRESOLVED,§ب item 7. SRV-002 vs SRV-009 boundary NEEDS_JEA_CONFIRMATION.
SRV-003,deferred_execution_package,ملف عقد التنفيذ المؤجل (كتاب مكتب+صور+مخطط طبوغرافي+وصف),DOCUMENT,-,BASE,drilling_access_blocked,YES,YES,NO,JEA-TM2025-CH03-P037-004,pdf,50MB,-,full 6-item package,office_submission,NO,NOT_PRESENT (SRV-003 unimplemented),DEFERRED_TO_SRV003_PILOT,ACTIVATION_GAP - not this batch.
SRV-003,owner_undertaking,تعهد صاحب العمل,DOCUMENT,-,BASE,drilling_access_blocked,YES,YES,NO,JEA-TM2025-CH03-P038-002,pdf,10MB,{bank-certified OR JEA-witnessed},-,office_submission,NO,NOT_PRESENT,DEFERRED_TO_SRV003_PILOT,
SRV-003,supervising_office_undertaking,تعهد المكتب المشرف,DOCUMENT,-,BASE,drilling_access_blocked,YES,YES,NO,JEA-TM2025-CH03-P038-002,pdf,10MB,-,-,office_submission,NO,NOT_PRESENT,DEFERRED_TO_SRV003_PILOT,
SRV-007,materials_testing_contract,عقد فحص المواد,CONTRACT,-,BASE,project_under_total_supervision,YES,YES,NO,JEA-TM2025-CH03-P040-001,pdf,10MB,-,-,office_submission,NO,NOT_PRESENT_ON_SRV007 (belongs to SRV-008/009),PROVISIONAL,Cross-service reference. Actually applies to SRV-008/009 as the target-service contract.
SRV-008,materials_testing_contract,عقد فحص المواد,CONTRACT,-,BASE,project_under_total_supervision,YES,YES,NO,JEA-TM2025-CH03-P040-001,pdf,10MB,-,-,office_submission,NO,NOT_PRESENT (SRV-008 unimplemented),DEFERRED,
SRV-009,materials_testing_contract,عقد فحص المواد,CONTRACT,-,BASE,project_under_total_supervision,YES,YES,NO,JEA-TM2025-CH03-P040-001,pdf,10MB,-,-,office_submission,NO,NOT_PRESENT,DEFERRED,
DRW-P-001,architectural_drawings,المخططات المعمارية (معتمدة من رئيس الاختصاص),REPORT,DISCIPLINE_DRAWING,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-001,pdf/dwg,25MB,-,discipline chief approval,office_submission,NO,PRESENT (DrawingsDocumentsSeeder),KEEP,
DRW-P-001,structural_drawings,المخططات الإنشائية,REPORT,DISCIPLINE_DRAWING,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-001,pdf/dwg,25MB,-,discipline chief approval,office_submission,NO,PRESENT,KEEP,
DRW-P-001,electrical_drawings,المخططات الكهربائية,REPORT,DISCIPLINE_DRAWING,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-001,pdf/dwg,25MB,-,discipline chief approval,office_submission,NO,PRESENT,KEEP,
DRW-P-001,mechanical_drawings,المخططات الميكانيكية,REPORT,DISCIPLINE_DRAWING,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-001,pdf/dwg,25MB,-,discipline chief approval,office_submission,NO,PRESENT,KEEP,
DRW-P-001,work_assignment_form,نموذج تكليف عمل,CONTRACT,-,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-002,pdf,10MB,-,-,office_submission,NO,PRESENT,KEEP,
DRW-P-001,design_services_agreement,اتفاقية خدمات هندسية تصميم + ملحق,CONTRACT,-,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-002,pdf,10MB,-,-,office_submission,NO,PRESENT,KEEP,
DRW-P-001,supervision_services_agreement,اتفاقية خدمات هندسية للإشراف + ملحق,CONTRACT,-,BASE,none,YES,YES,NO,JEA-TM2025-CH03-P034-002,pdf,10MB,-,-,office_submission,NO,PRESENT,KEEP,
DRW-P-001,calculation_notes,المذكرات الحسابية,REPORT,CALCULATION_NOTES,CONDITIONAL,total_area_gt_250_m2,YES (when triggered),YES,NO,JEA-TM2025-CH03-P034-004,pdf,10MB,-,structural+electrical+mechanical notes,office_submission,NO,PRESENT_AS_ALWAYS_REQUIRED (schema does not enforce condition),KEEP+CONVERT_TO_CONDITIONAL,Current DrawingsDocumentsSeeder marks required=true always; conditional wiring on total_area_gt_250 not enforced.
DRW-P-002,structural_safety_study,دراسة الأمان للأبنية القائمة,REPORT,STRUCTURAL_SAFETY,CONDITIONAL,building_status=existing,YES (when triggered),YES,NO,JEA-TM2025-CH03-P034-006,pdf,25MB,-,-,office_submission,NO,PRESENT (DrawingsDocumentsSeeder),KEEP,
